Title,cast,crew,genres,final_tag,movie_id
The Call of the Wild,Harrison Ford,Chris Sanders,Adventure Family Drama,"Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.en",481848.0
The Last Thing He Wanted,Anne Hathaway,"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe",Drama Thriller,"At the turning point of the Iran-Contra affair, Elena McMahon, a fearless investigative journalist covering the 1984 US presidential campaign, puts herself in danger when she abandons her assigned task in order to fulfill the last wish of her ailing father, a mysterious man whose past activities she barely knows.en",505225.0
Brahms: The Boy II,Katie Holmes,William Brent Bell,Horror Mystery Thriller,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.en",555974.0
Emma,Anya Taylor-Joy,Autumn de Wilde,Comedy Romance,"In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends.en",556678.0
The Night Clerk,Tye Sheridan,Michael Cristofer,Thriller Crime Drama,"Hotel night clerk Bart Bromley is a highly intelligent young man on the Autism spectrum. When a woman is murdered during his shift, Bart becomes the prime suspect. As the police investigation closes in, Bart makes a personal connection with a beautiful guest named Andrea, but soon realises he must stop the real murderer before she becomes the next victim.en",526007.0
Impractical Jokers: The Movie,Brian Quinn,Chris Henchy,Comedy,The story of a humiliating high school mishap from 1992 that sends the Impractical Jokers on the road competing in hidden-camera challenges for the chance to turn back the clock and redeem three of the four Jokers.en,566927.0
The Invisible Man,Elisabeth Moss,Leigh Whannell,Thriller Science Fiction Horror,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.en",570670.0
All the Bright Places,Elle Fanning,Brett Haley,Romance Drama,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.en,342470.0
Wendy,Eliza Zeitlin (screenplay); Tommie Lynn Milazzo,Benh Zeitlin,Fantasy Adventure Drama,"A re-imagining of ""Peter Pan"" from the point of view of Wendy Darling, who finds herself lost on a mysterious island where aging and time have come unglued. She must fight to save her family, her freedom and the joyous spirit of youth.en",399363.0
Guns Akimbo,Daniel Radcliffe,Jason Lei Howden,Comedy Action,An ordinary guy suddenly finds himself forced to fight a gladiator-like battle for a dark website that streams the violence for viewers. Miles must fight heavily armed Nix and also save his kidnapped ex-girlfriend.en,457335.0
Onward,Jason Headley,Dan Scanlon,Family Animation Adventure Comedy Fantasy,"In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.en",508439.0
The Way Back,Ben Affleck,Gavin O'Connor,Drama,"A former basketball all-star, who has lost his wife and family foundation in a struggle with addiction attempts to regain his soul and salvation by becoming the coach of a disparate ethnically mixed high school basketball team at his alma mater.en",529485.0
Spenser Confidential,Mark Wahlberg,Peter Berg,Comedy Action Thriller,"Spenser, a former Boston patrolman who just got out from prison, teams up with Hawk, an aspiring fighter, to unravel the truth behind the death of two police officers.en",581600.0
The Banker,Niceole Levy (screenplay); Anthony Mackie,George Nolfi,Drama,"In the 1960s, two entrepreneurs hatch an ingenious business plan to fight for housing integration—and equal access to the American Dream.en",627725.0
The Burnt Orange Heresy,Claes Bang,Giuseppe Capotondi,Thriller,"Hired to steal a rare painting from one of the most enigmatic painters of all time, an ambitious art dealer becomes consumed by his own greed and insecurity as the operation spins out of control.en",566872.0
Swallow,Haley Bennett,Carlo Mirabella-Davis,Drama History Thriller Crime,"Set in the 1980s, Tolani Ajao is a bank secretary in Lagos, who finds herself persuaded by her friend Rose Adamson to enter the world of drug trafficking.en",874562.0
First Cow,Jonathan Raymond (screenplay); John Magaro,Kelly Reichardt,Drama Western,"A taciturn loner and skilled cook has traveled west and joined a group of fur trappers in Oregon Territory, though he only finds true connection with a Chinese immigrant also seeking his fortune. Soon, the two collaborate on a successful business, although its longevity is reliant upon the clandestine participation of a nearby wealthy landowner’s prized milking cow.en",558582.0
Bloodshot,Vin Diesel,Dave S. F. Wilson,Action Science Fiction,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.en",338762.0
The Hunt,Betty Gilpin,Craig Zobel,Action Thriller Horror,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.en",514847.0
I Still Believe,KJ Apa,Erwin Brothers,Music Drama Romance,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.en,585244.0
Lost Girls,Amy Ryan,Liz Garbus,Drama Mystery Thriller History,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.en",567970.0
Stargirl,Kristin Hahn,Julia Hart,Comedy Drama Romance Family,"Leo Borlock is an average student at Mica High School. He gets decent grades, is a member of the school's marching band and has always been content flying under the radar. But all that changes when he meets Stargirl Caraway, a confident and colorful new student with a penchant for the ukulele, who stands out in a crowd. She is kind, finds magic in the mundane and touches the lives of others with the simplest of gestures. Her eccentricities and infectious personality charm Leo and the student body, and she quickly goes from being ignored and ridiculed to accepted and praised, then back again, sending Leo on a rollercoaster ride of emotions.en",382748.0
The Roads Not Taken,Javier Bardem,Sally Potter,Drama,"The film follows 24 hours in the life of father and daughter Leo and Molly as she grapples with the challenges of dealing with her father’s chaotic mental state. But as they weave their way around New York City, their ordinary but stressful day takes on a hallucinatory and epic quality, for Leo is seamlessly flowing in and out of several parallel lives; a passionate marriage with his childhood sweetheart Dolores in Mexico and a life of solitude on a remote Greek island, where a chance encounter with two young tourists unmasks the uncomfortable truths of a family life left behind...en",567714.0
Never Rarely Sometimes Always,Sidney Flanigan,Eliza Hittman,Drama,A pair of teenage girls in rural Pennsylvania travel to New York City to seek out medical help after an unintended pregnancy.en,595671.0
Big Time Adolescence,Pete Davidson,Jason Orley,Comedy,"A seemingly bright and mostly innocent 16-year-old named Mo attempts to navigate high school under the guidance of his best friend Zeke, an unmotivated-yet-charismatic college dropout. Although Zeke genuinely cares about Mo, things start to go awry as he teaches Mo nontraditional life lessons in drug dealing, partying, and dating. Meanwhile, Mo’s well-meaning dad tries to step in and take back the reins of his son’s upbringing.en",539617.0
Lost Transmissions,Simon Pegg,Katharine O'Brien,Drama,"When an acclaimed music producer goes off his medication for schizophrenia, his friends chase him though the LA music scene to help commit him to a psychiatric hospital, revealing the troubling inadequacies of the mental health care system.en",535987.0
Resistance,Jesse Eisenberg,Jonathan Jakubowicz,War History Drama,The story of mime Marcel Marceau as he works with a group of Jewish boy scouts and the French Resistance to save the lives of ten thousand orphans during World War II.en,491926.0
